"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/AttributeCond.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/MembershipCond.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/NodeCond.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/ResourceCond.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/AttributeTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/LoggerTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/MembershipTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/NotificationTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PolicyTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PropagationTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ReportTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/ResourceTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/RoleTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SchemaTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/TaskTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/UserTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AttributableType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AuditElements.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/AuditLoggerName.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnConfProperty.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnParameterType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ConnectorCapability.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/EntityViolationType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/IntMappingType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PasswordPolicySpec.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PolicyType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PropagationMode.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PropagationOperation.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ReportExecStatus.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SchemaType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/TraceLevel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/UserRequestType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/package-info.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","client/src/test/java/org/apache/syncope/client/test/JSONTest.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/SyncopeApplication.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/SyncopeSession.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/Constants.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SelectOption.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/StatusBean.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/BasePage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Configuration.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/HomePage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Login.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Logout.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Reports.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Resources.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Roles.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Schema.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Tasks.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Todo.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/UserRequestModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Users.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/WelcomePage.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/ResultSetPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleSummaryPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/RolesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/SchedTasks.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/StatusPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/SyncTasks.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/UserDetailsPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/UserManagementResultPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/panels/VirtualAttributesPanel.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/AbstractBaseRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ConfigurationRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/EntitlementRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/ExecutionRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/InvalidPolicyType.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/LoggerRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/rest/NotificationRestClient.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
